Cipla,Zee Media,ITC,Sun Pharma,PC Jeweller,PNB,RCOM,TATA MOTORS,ICICI BANK,INFIBEAM
608.14801,43.099998,261.457397,573.520569,378.653931,125.550003,28.35,370.75,316.088013,160.232697
592.772705,43.349998,264.008667,567.937439,330.303528,113.449997,27.6,360.200012,317.761719,160.482422
578.890076,41.799999,259.053314,533.790405,331.197968,101.050003,27.9,370.75,300.236877,157.385666
568.291504,38.200001,254.392303,505.276337,335.322418,95.599998,22.700001,341.5,288.176178,152.635727
556.697815,42.099998,255.618881,501.537628,369.212433,98.849998,23.450001,339.75,293.492706,150.036835
535.799255,38.400002,251.203201,500.889587,325.88089,93.150002,22.700001,330.850006,271.291199,149.487061
542.815186,38.049999,250.71257,493.611542,318.228333,95.300003,21.75,326.850006,274.047974,148.4375
556.25,39.200001,255.962326,511.058899,296.3638,102.150002,24.35,364.100006,276.312408,166.87973
552.81665,38.349998,255.864197,511.457703,301.780212,101.300003,22.299999,357.049988,283.794922,172.227493
586.204529,38.049999,271.024719,503.780853,293.978546,93.599998,20.4,336,277.789215,171.077957
596.952393,37,274.164734,522.574219,176.70517,93.400002,15.95,336.899994,283.450348,167.429504
594.11615,36.299999,271.956909,516.392822,173.57457,91.550003,15.35,334.399994,278.478424,167.729385
570.928711,35.299999,278.335114,470.630829,199.613251,88.800003,13.7,330.799988,306.144104,167.379517
530.475098,31.450001,277.010406,463.502319,162.990143,74.75,15.3,304.600006,281.678162,165.280411
534.057739,31.9,267.197754,465.047668,191.314651,83.349998,14.3,294.149994,291.080566,164.580704
521.96637,31.700001,269.950012,482.89386,155.238174,82.949997,16.450001,287.200012,284.828705,168.57901
556.946594,31.5,267.899994,526.661865,136.007339,90.449997,15.85,309.950012,283.794922,151.136368
608.64563,30.950001,264.5,569.582458,156.579865,89.849998,15.45,302.950012,278.13382,152.985596
612.775574,29.6,265.149994,575.514526,139.833618,81.900002,14.7,308,296.003326,158.033463
613.671265,25.299999,266.200012,562.304382,135.907944,76.150002,13.75,269.299988,271.143555,153.385422
609.541321,25.25,272.649994,556.422119,128.056595,76.949997,13.55,270.850006,265.876221,150.3367
623.672729,25.950001,270.399994,558.067139,119.161697,73.849998,13,263.600006,263.611755,157.183823
622.777039,27.9,274,558.416077,81.395691,75.550003,12.95,253.399994,261.691895,167.779358
633.126831,30.6,302.549988,555.375244,83.830605,82,14,268.149994,288.668457,183.222855
637.953369,31.6,303.950012,584.088684,93.421181,88.150002,15.65,258.450012,303.643219,187.670975
618.049988,29.950001,304.799988,552.334473,100.527153,83.25,19.450001,250.100006,327.138245,195.017899
643.775146,29.299999,313.75,621.625488,99.284851,83.449997,19.200001,258.25,338.487549,201.065338
651.200012,28.65,310.399994,627.906555,89.396118,85.800003,19.1,255.5,328.681335,222.306396
662.150024,29.4,319.850006,650.887268,83.731216,88.150002,18.25,267.5,342.600006,228.103958
664.75,28.65,310.450012,662.252991,85.7686,84.400002,17.299999,277.399994,335.100006,228.653732
666.400024,27.549999,307.149994,663.25,81.495071,82.800003,16.35,266.600006,328.350006,234.85112
653.200012,26.549999,303.950012,632.991272,71.308189,72.849998,13.15,250.350006,317.100006,182.123322
654.049988,22.85,297.75,623.25,62.349998,59.700001,11.9,223.699997,305.549988,58.450001
636.650024,22.85,276.5,597.950012,59.700001,63.849998,11.45,216.25,307.299988,59.549999
622.900024,24.799999,275.200012,590.599976,56.950001,66.5,11.65,183.75,319.399994,52.549999
633.799988,25.35,289.450012,609.950012,56.700001,66,11.15,174.699997,315.450012,53.099998
603.700012,24.1,280.899994,554.049988,49.349998,66.150002,10,168.5,315.649994,29.950001
607.099976,25.75,283.25,571.849976,88.199997,69.050003,14.1,190.300003,354.450012,37.75
526.950012,25.4,277.25,597.450012,91.800003,71.650002,14.2,195.25,356.850006,58.200001
530.599976,25.5,276.549988,519.75,74.150002,73.199997,13.55,179.899994,367.549988,47.099998
517.950012,24.25,280.5,525.950012,76.650002,71.699997,13.3,182.550003,352.049988,46.849998
540.849976,23.85,285.799988,492.600006,68.849998,69.900002,14.25,171.949997,355.149994,44.549999
513.599976,22.700001,274.049988,411.25,66.400002,66,15.75,162.399994,352.200012,44.450001
521.75,23.700001,275.75,420.649994,83.800003,72.650002,15.75,166.949997,351.899994,46.599998
516.650024,23.85,276.75,425.299988,82.449997,76.349998,14.2,176.25,354.200012,49.099998
522,23.85,282.25,425.200012,87.800003,78.449997,14.7,170.850006,360.75,47.849998
512.799988,23.75,280.950012,433.799988,81,81.300003,14,170.949997,365.200012,45.200001
510.200012,24.299999,295.350006,444.399994,80.099998,80.650002,13.7,180.300003,378.549988,43.549999
509.399994,24.5,291.450012,390.75,78.150002,82.849998,13.35,183.300003,372,44.450001
507.649994,22.1,279.200012,422.399994,75.949997,76.599998,12.45,173.25,357.200012,42.400002
521.349976,13.35,280.850006,423.25,71.550003,73.900002,11.6,181.649994,354.649994,38
534.25,13.75,275.5,431.049988,76.849998,71.199997,5.35,150.699997,355.100006,33
543.299988,14.3,277.100006,428.549988,68.699997,70.849998,5.35,152.649994,350.049988,32.650002
